Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1951/4/23,,68,,0.04,,
1951/4/24,,81,,0,,
1951/4/25,,83,,1.55,,
1951/4/26,,80,,0.25,,
1951/4/27,,86,,0.23,,
1951/4/28,,88,,0.56,,
1951/4/29,,90,,1.98,,
1951/4/30,,77,,0.39,,
1951/5/1,75,81,72,0,,
1951/5/2,76,85,70,0,,
1951/5/3,77,85,72,0,,
1951/5/4,79,88,72,0,,
1951/5/5,80,91,74,0,,
1951/5/6,79,90,73,0.44,,
1951/5/7,78,87,72,0.11,,
1951/5/8,78,90,69,0,,
1951/5/9,76,93,67,0,,
1951/5/10,77,90,69,0,,
1951/5/11,80,92,70,0,,
1951/5/12,75,82,73,0.01,,
1951/5/13,77,83,73,0,,
1951/5/14,80,92,74,0.08,,
1951/5/15,82,95,75,0.02,,
1951/5/16,83,94,77,0,,
1951/5/17,76,82,71,1.19,,
1951/5/18,67,71,65,0.33,,
1951/5/19,71,82,63,0,,
1951/5/20,73,86,64,0,,
1951/5/21,75,87,67,0,,
1951/5/22,77,90,68,0,,
1951/5/23,78,87,69,0,,
1951/5/24,79,89,74,0.19,,
1951/5/25,78,85,74,0.44,,
1951/5/26,78,83,75,0,,
1951/5/27,79,89,76,0.35,,
1951/5/28,79,88,75,0.39,,
1951/5/29,76,79,72,1.08,,
1951/5/30,79,87,73,0,,
1951/5/31,82,95,75,0,,
1951/6/1,79,88,74,0.16,,
1951/6/2,78,90,75,0.05,,
1951/6/3,78,86,75,0.11,,
1951/6/4,76,78,75,0.5,,
1951/6/5,75,78,74,1.26,,
1951/6/6,78,83,74,0.17,,
1951/6/7,77,80,76,0.98,,
1951/6/8,77,82,75,0.41,,
1951/6/9,79,91,74,0.03,,
1951/6/10,77,87,74,0.04,,
1951/6/11,77,82,75,0.05,,
1951/6/12,76,80,71,0.33,,
1951/6/13,78,85,75,1.14,,
1951/6/14,81,89,77,0.23,,
1951/6/15,78,85,74,3.2,,
1951/6/16,80,89,74,0,,
1951/6/17,80,91,74,0,,
1951/6/18,80,88,75,0.01,,
1951/6/19,78,84,73,0.26,,
1951/6/20,79,88,76,0.15,,
1951/6/21,79,86,76,0.19,,
1951/6/22,79,89,75,0.04,,
1951/6/23,78,89,75,0.73,,
1951/6/24,81,91,75,0.01,,
1951/6/25,83,91,76,0,,
1951/6/26,82,92,76,0,,
1951/6/27,83,92,77,0,,
1951/6/28,75,80,72,4.19,,
1951/6/29,78,90,73,0,,
1951/6/30,81,93,74,0,,
1951/7/1,,96,78,0,,
1951/7/2,84,94,79,0,,
1951/7/3,83,89,79,0,,
1951/7/4,80,86,76,0.73,,
1951/7/5,80,91,78,0.27,,
1951/7/6,83,92,79,0.09,,
1951/7/7,84,91,80,0.08,,
1951/7/8,83,89,80,0.19,,
1951/7/9,82,86,80,0.02,,
1951/7/10,78,88,72,1.12,,
1951/7/11,78,86,74,0.73,,
1951/7/12,83,90,78,0,,
1951/7/13,83,90,79,0,,
1951/7/14,83,91,74,0.22,,
1951/7/15,83,90,79,0,,
1951/7/16,83,92,78,0,,
1951/7/17,83,92,78,0,,
1951/7/18,81,91,77,0,,
1951/7/19,83,90,78,0,,
1951/7/20,82,92,78,0.38,,
1951/7/21,82,91,78,0.4,,
1951/7/22,83,91,77,0,,
1951/7/23,82,93,75,0.16,,
1951/7/24,78,87,74,0.12,,
1951/7/25,79,88,74,0.14,,
1951/7/26,80,86,77,0.19,,
1951/7/27,80,88,76,0.19,,
1951/7/28,81,91,76,0.07,,
1951/7/29,83,92,74,0,,
1951/7/30,85,93,78,0,,
1951/7/31,87,98,79,0,,
1951/8/1,85,92,78,0,,
1951/8/2,79,82,75,0.46,,
1951/8/3,78,86,75,1.61,,
1951/8/4,80,89,76,0.17,,
1951/8/5,82,90,77,0.01,,
1951/8/6,83,92,77,0,,
1951/8/7,83,94,73,0.65,,
1951/8/8,79,86,76,0.37,,
1951/8/9,78,78,75,1.09,,
1951/8/10,78,81,76,1.36,,
1951/8/11,81,89,76,0.16,,
1951/8/12,84,94,77,0,,
1951/8/13,86,97,81,0,,
1951/8/14,85,97,80,0,,
1951/8/15,80,87,78,0.5,,
1951/8/16,80,90,78,0.56,,
1951/8/17,79,86,75,1.19,,
1951/8/18,80,84,76,0.14,,
1951/8/19,80,88,77,0.25,,
1951/8/20,83,92,79,0.1,,
1951/8/21,84,94,78,0,,
1951/8/22,84,93,78,0,,
1951/8/23,84,91,81,0.03,,
1951/8/24,81,91,79,0.13,,
1951/8/25,84,92,80,0,,
1951/8/26,84,92,80,0,,
1951/8/27,83,92,79,0,,
1951/8/28,83,93,77,0,,
1951/8/29,83,90,79,0,,
1951/8/30,84,93,79,0.11,,
1951/8/31,84,95,78,0,,
1951/9/1,83,95,77,0.32,,
1951/9/2,83,95,76,0.84,,
1951/9/3,82,89,78,0.11,,
1951/9/4,81,93,76,2.14,,
1951/9/5,81,91,76,1.1,,
1951/9/6,82,90,78,0.02,,
1951/9/7,82,90,76,0,,
1951/9/8,83,92,77,0,,
1951/9/9,84,92,79,0,,
1951/9/10,85,93,80,0,,
1951/9/11,84,92,79,0,,
1951/9/12,84,92,78,0,,
1951/9/13,84,92,79,0,,
1951/9/14,83,92,78,0,,
1951/9/15,81,93,74,0.37,,
1951/9/16,75,82,71,0.05,,
1951/9/17,75,83,70,0.01,,
1951/9/18,79,89,72,0,,
1951/9/19,80,90,72,0,,
1951/9/20,78,86,72,0.03,,
1951/9/21,76,80,73,0.07,,
1951/9/22,76,78,74,0.54,,
1951/9/23,75,83,73,0.95,,
1951/9/24,79,88,73,0.12,,
1951/9/25,81,90,75,0,,
1951/9/26,81,90,75,0,,
1951/9/27,78,89,71,0,,
1951/9/28,78,91,71,0,,
1951/9/29,81,94,72,0,,
1951/9/30,81,91,77,0,,
1951/10/1,80,90,75,0,,
1951/10/2,81,90,75,0,,
1951/10/3,77,83,71,0.12,,
1951/10/4,76,80,71,0.3,,
1951/10/5,77,82,74,0.11,,
1951/10/6,78,85,74,0,,
1951/10/7,81,90,77,0,,
1951/10/8,80,89,75,0.01,,
1951/10/9,81,91,74,0,,
1951/10/10,80,86,76,0.01,,
1951/10/11,78,86,74,0.58,,
1951/10/12,78,86,74,0.21,,
1951/10/13,79,87,73,0,,
1951/10/14,75,83,67,0,,
1951/10/15,75,87,66,0,,
1951/10/16,77,85,73,0,,
1951/10/17,77,85,69,0,,
1951/10/18,78,88,71,0,,
1951/10/19,78,88,71,0,,
1951/10/20,79,88,73,0.15,,
1951/10/21,80,89,75,0,,
1951/10/22,69,77,59,1.46,,
1951/10/23,62,65,56,0.45,,
1951/10/24,66,75,62,0,,
1951/10/25,68,78,62,0,,
1951/10/26,68,74,65,0,,
1951/10/27,70,81,61,0,,
1951/10/28,71,80,63,0,,
1951/10/29,72,84,63,0,,
1951/10/30,69,84,59,0,,
1951/10/31,68,82,59,0,,
1951/11/1,70,83,59,0,,
1951/11/2,70,82,61,0,,
1951/11/3,69,80,62,0,,
1951/11/4,72,85,63,0,,
1951/11/5,73,85,64,0,,
1951/11/6,76,85,71,0,,
1951/11/7,71,79,65,0,,
1951/11/8,66,77,59,0,,
1951/11/9,68,79,58,0,,
1951/11/10,68,72,65,0.07,,
1951/11/11,66,68,63,2.38,,
1951/11/12,66,71,63,0.8,,
1951/11/13,70,76,66,0.05,,
1951/11/14,71,74,69,0.66,,
1951/11/15,74,84,69,0.44,,
1951/11/16,73,78,69,0,,
1951/11/17,71,77,65,0,,
1951/11/18,67,70,63,0.09,,
1951/11/19,63,66,60,0.18,,
1951/11/20,67,78,59,0,,
1951/11/21,72,81,67,0,,
1951/11/22,67,81,56,0,,
1951/11/23,53,61,48,0,,
1951/11/24,53,63,44,0,,
1951/11/25,59,71,50,0,,
1951/11/26,62,75,54,0,,
1951/11/27,66,78,56,0,,
1951/11/28,68,77,62,0,,
1951/11/29,63,71,54,0,,
1951/11/30,55,61,50,0.81,,
1951/12/1,55,61,51,0,,
1951/12/2,59,70,52,0,,
1951/12/3,63,72,58,0,,
1951/12/4,61,70,55,0,,
1951/12/5,58,64,52,0,,
1951/12/6,54,59,51,0,,
1951/12/7,57,70,46,0,,
1951/12/8,57,71,48,0,,
1951/12/9,58,74,47,0,,
1951/12/10,62,75,52,0,,
1951/12/11,62,72,55,0,,
1951/12/12,61,75,50,0,,
1951/12/13,63,74,55,0,,
1951/12/14,61,69,55,0,,
1951/12/15,55,64,48,0,,
1951/12/16,53,67,46,0,,
1951/12/17,54,70,43,0,,
1951/12/18,61,76,51,0,,
1951/12/19,66,76,59,0,,
1951/12/20,65,67,62,0.32,,
1951/12/21,68,74,63,0.13,,
1951/12/22,71,82,65,0,,
1951/12/23,72,83,67,0,,
1951/12/24,70,73,65,0.04,,
1951/12/25,69,72,65,0.04,,
1951/12/26,67,73,61,0,,
1951/12/27,63,71,57,0,,
1951/12/28,67,80,61,0,,
1951/12/29,65,69,60,0.01,,
1951/12/30,66,71,60,0.07,,
1951/12/31,63,68,55,0,,
1952/1/1,55,58,52,0,,
1952/1/2,53,60,47,0,,
1952/1/3,53,64,45,0,,
1952/1/4,55,64,47,0,,
1952/1/5,59,65,52,0,,
1952/1/6,57,67,50,0,,
1952/1/7,53,60,47,0,,
1952/1/8,49,60,41,0,,
1952/1/9,52,63,42,0,,
1952/1/10,60,68,55,0,,
1952/1/11,64,76,59,0,,
1952/1/12,61,70,56,0,,
1952/1/13,61,66,58,0,,
1952/1/14,59,69,51,0,,
1952/1/15,55,65,45,0,,
1952/1/16,58,64,54,0.13,,
1952/1/17,58,70,51,0.12,,
1952/1/18,59,67,55,0,,
1952/1/19,57,68,50,0,,
1952/1/20,55,71,45,0,,
1952/1/21,57,73,45,0,,
1952/1/22,62,77,51,0,,
1952/1/23,67,77,60,0,,
1952/1/24,67,76,56,0,,
1952/1/25,60,66,53,0.09,,
1952/1/26,60,67,54,0,,
1952/1/27,61,71,53,0,,
1952/1/28,64,78,55,0,,
1952/1/29,68,79,60,0,,
1952/1/30,68,75,61,0,,
1952/1/31,65,68,58,0.01,,
1952/2/1,60,62,58,0.25,,
1952/2/2,60,65,54,0.04,,
1952/2/3,54,60,51,0.01,,
1952/2/4,52,56,49,0.07,,
1952/2/5,55,62,49,0,,
1952/2/6,62,70,58,0,,
1952/2/7,68,76,60,0,,
1952/2/8,64,71,56,0,,
1952/2/9,63,71,58,0,,
1952/2/10,59,70,54,0,,
1952/2/11,63,69,57,0,,
1952/2/12,68,74,63,0,,
1952/2/13,71,81,65,0,,
1952/2/14,74,83,71,0,,
1952/2/15,69,75,61,0.01,,
1952/2/16,52,61,47,0.23,,
1952/2/17,43,47,41,0.47,,
1952/2/18,39,41,38,0.14,,
1952/2/19,42,52,35,0,,
1952/2/20,45,55,37,0,,
1952/2/21,53,61,45,0,,
1952/2/22,60,68,55,0,,
1952/2/23,62,69,57,0,,
1952/2/24,61,67,53,0,,
1952/2/25,66,70,61,0,,
1952/2/26,65,71,58,0.08,,
1952/2/27,64,70,61,0,,
1952/2/28,64,72,57,0.01,,
1952/2/29,60,66,55,0,,
1952/3/1,63,71,55,0,,
1952/3/2,64,69,58,0,,
1952/3/3,65,69,60,0,,
1952/3/4,65,69,61,0,,
1952/3/5,68,76,63,1.5,,
1952/3/6,62,67,56,0.23,,
1952/3/7,62,68,57,0.61,,
1952/3/8,60,67,55,0,,
1952/3/9,67,75,60,0,,
1952/3/10,62,67,58,0,,
1952/3/11,58,60,55,0.05,,
1952/3/12,56,61,51,0.01,,
1952/3/13,58,62,55,0,,
1952/3/14,61,64,57,0,,
1952/3/15,67,74,60,0,,
1952/3/16,72,79,66,0,,
1952/3/17,72,79,68,0.02,,
1952/3/18,75,84,69,0,,
1952/3/19,64,73,54,0,,
1952/3/20,51,55,49,0.93,,
1952/3/21,53,58,48,0.77,,
1952/3/22,63,78,55,0.03,,
1952/3/23,66,77,57,0,,
1952/3/24,69,75,65,0,,
1952/3/25,70,75,66,0,,
1952/3/26,68,72,64,0.02,,
1952/3/27,68,71,64,0.37,,
1952/3/28,68,72,63,0.04,,
1952/3/29,72,80,67,0,,
1952/3/30,73,80,68,0,,
1952/3/31,72,77,67,0,,
1952/4/1,63,68,59,0.01,,
1952/4/2,63,69,59,0.04,,
1952/4/3,66,71,63,0.07,,
1952/4/4,69,78,62,0.06,,
1952/4/5,68,72,65,1.58,,
1952/4/6,71,78,66,0.27,,
1952/4/7,72,81,68,5.12,,
1952/4/8,75,87,67,0,,
1952/4/9,72,76,70,0.59,,
1952/4/10,76,84,71,0,,
1952/4/11,80,85,76,0,,
1952/4/12,71,78,61,0,,
1952/4/13,59,63,55,0.51,,
1952/4/14,61,78,52,0,,
1952/4/15,69,84,57,0,,
1952/4/16,71,83,62,0,,
1952/4/17,73,87,62,0,,
1952/4/18,76,89,68,0,,
1952/4/19,78,83,72,0,,
1952/4/20,79,87,73,0,,
1952/4/21,72,75,70,2.04,,
1952/4/22,72,77,69,0.57,,
1952/4/23,74,79,70,0.04,,
1952/4/24,63,75,58,0.99,,
1952/4/25,64,73,57,0,,
1952/4/26,69,73,64,0.03,,
1952/4/27,74,82,69,0.02,,
1952/4/28,79,88,73,0.01,,
1952/4/29,76,87,73,0.27,,
1952/4/30,76,85,72,0.24,,
1952/5/1,79,87,76,0.04,,
1952/5/2,78,85,75,0.03,,
1952/5/3,81,89,76,0.06,,
1952/5/4,83,93,78,0,,
1952/5/5,82,91,75,0.02,,
1952/5/6,79,86,76,0,,
1952/5/7,78,84,75,0.86,,
1952/5/8,78,84,75,0.2,,
1952/5/9,79,87,75,0,,
1952/5/10,81,90,76,0.06,,
1952/5/11,82,92,77,0,,
1952/5/12,82,90,79,0.05,,
1952/5/13,79,85,76,0.02,,
1952/5/14,78,85,74,0,,
1952/5/15,79,89,74,0,,
1952/5/16,80,90,75,0,,
1952/5/17,80,91,74,0,,
1952/5/18,82,92,76,0,,
1952/5/19,83,92,78,0,,
1952/5/20,85,95,79,0,,
1952/5/21,85,94,81,0,,
1952/5/22,85,96,80,0,,
1952/5/23,87,96,82,0,,
1952/5/24,86,95,82,0,,
1952/5/25,82,89,78,1.46,,
1952/5/26,83,92,77,0,,
1952/5/27,85,94,77,0,,
1952/5/28,80,88,77,3.1,,
1952/5/29,82,91,78,0.3,,
1952/5/30,82,90,76,4.33,,
1952/5/31,84,92,80,0,,
1952/6/1,80,87,77,0,,
1952/6/2,81,90,75,0,,
1952/6/3,85,95,81,0.01,,
1952/6/4,84,93,79,0.01,,
1952/6/5,85,95,81,0.03,,
1952/6/6,85,92,81,0,,
1952/6/7,86,95,81,0,,
1952/6/8,83,87,79,0,,
1952/6/9,77,82,75,1.72,,
1952/6/10,81,94,75,0,,
1952/6/11,83,91,78,0.2,,
1952/6/12,81,86,77,0.59,,
1952/6/13,78,80,76,0.76,,
1952/6/14,78,83,76,1.75,,
1952/6/15,81,87,77,1.18,,
1952/6/16,82,92,75,0,,
1952/6/17,85,94,80,0.04,,
1952/6/18,86,95,81,0,,
1952/6/19,85,95,81,0,,
1952/6/20,85,94,81,0,,
1952/6/21,85,94,80,0.02,,
1952/6/22,83,92,79,0.52,,
1952/6/23,81,87,78,0.47,,
1952/6/24,81,89,77,0.03,,
1952/6/25,78,87,77,2.19,,
1952/6/26,80,89,77,0.11,,
1952/6/27,80,89,77,0.13,,
1952/6/28,83,93,78,0.11,,
1952/6/29,84,92,80,0,,
1952/6/30,81,88,78,0.47,,
1952/7/1,83,90,79,0.91,,
1952/7/2,83,91,80,0.04,,
1952/7/3,85,95,80,0,,
1952/7/4,88,99,82,0,,
1952/7/5,85,95,80,0.23,,
1952/7/6,83,90,80,0.02,,
1952/7/7,85,95,79,0.48,,
1952/7/8,84,95,78,0.5,,
1952/7/9,85,94,81,0.91,,
1952/7/10,87,95,81,0,,
1952/7/11,86,96,81,0.04,,
1952/7/12,85,93,81,0,,
1952/7/13,85,94,81,0.02,,
1952/7/14,86,93,82,0,,
1952/7/15,83,93,80,0.17,,
1952/7/16,82,89,78,0.02,,
1952/7/17,83,94,78,0,,
1952/7/18,84,91,77,0.01,,
1952/7/19,82,89,77,0.04,,
1952/7/20,82,88,78,0.46,,
1952/7/21,84,92,79,0,,
1952/7/22,85,95,79,0,,
1952/7/23,81,90,78,0.19,,
1952/7/24,79,87,78,0.28,,
1952/7/25,80,86,78,0.46,,
1952/7/26,79,81,76,0.62,,
1952/7/27,80,90,78,0.26,,
1952/7/28,79,89,77,0.15,,
1952/7/29,84,96,76,0,,
1952/7/30,80,83,77,3.5,,
1952/7/31,80,89,74,0.81,,
1952/8/1,82,91,77,0,,
1952/8/2,84,93,77,0,,
1952/8/3,84,94,77,0,,
1952/8/4,85,95,80,0,,
1952/8/5,85,94,79,0,,
1952/8/6,85,94,79,0,,
1952/8/7,85,94,82,0,,
1952/8/8,81,90,78,0.3,,
1952/8/9,81,88,78,0.56,,
1952/8/10,81,90,77,0.04,,
1952/8/11,81,87,77,0.14,,
1952/8/12,80,85,77,0.44,,
1952/8/13,80,89,76,0.3,,
1952/8/14,81,90,78,0.05,,
1952/8/15,82,93,76,0.01,,
1952/8/16,81,87,78,0,,
1952/8/17,81,94,77,0.31,,
1952/8/18,83,95,76,0.12,,
1952/8/19,80,87,76,1.34,,
1952/8/20,78,87,76,0.91,,
1952/8/21,81,92,76,0.07,,
1952/8/22,78,84,75,0.3,,
1952/8/23,83,91,78,0,,
1952/8/24,83,92,79,0,,
1952/8/25,82,92,77,0,,
1952/8/26,81,92,77,0.02,,
1952/8/27,80,90,75,0.08,,
1952/8/28,80,88,74,0.3,,
1952/8/29,78,90,77,0.28,,
1952/8/30,82,94,76,0.04,,
1952/8/31,84,95,77,0,,
1952/9/1,85,95,79,0,,
1952/9/2,85,96,79,0,,
1952/9/3,82,92,74,0.17,,
1952/9/4,82,92,76,1.63,,
1952/9/5,82,95,76,0.01,,
1952/9/6,78,89,77,1.26,,
1952/9/7,77,82,75,0.51,,
1952/9/8,80,88,75,0.17,,
1952/9/9,81,91,76,0.06,,
1952/9/10,82,91,77,0,,
1952/9/11,84,94,78,0,,
1952/9/12,84,92,78,0.06,,
1952/9/13,77,83,74,2.86,,
1952/9/14,76,78,73,2.09,,
1952/9/15,77,81,74,1.01,,
1952/9/16,81,90,76,0.01,,
1952/9/17,80,90,76,0.07,,
1952/9/18,80,89,76,0.09,,
1952/9/19,80,90,77,0.1,,
1952/9/20,80,90,76,0.06,,
1952/9/21,76,89,74,0.57,,
1952/9/22,78,87,73,0.28,,
1952/9/23,78,89,73,0.02,,
1952/9/24,79,89,74,0,,
1952/9/25,76,89,73,0.36,,
1952/9/26,73,80,69,0,,
1952/9/27,75,86,69,0,,
1952/9/28,79,89,73,0,,
1952/9/29,77,87,70,0,,
1952/9/30,76,89,70,0,,
1952/10/1,77,89,69,0,,
1952/10/2,77,89,69,0,,
1952/10/3,77,88,69,0,,
1952/10/4,79,87,73,0,,
1952/10/5,78,88,71,0,,
1952/10/6,78,88,74,0.27,,
1952/10/7,77,87,72,0.02,,
1952/10/8,78,89,73,0.03,,
1952/10/9,78,89,72,0,,
1952/10/10,81,90,70,0,,
1952/10/11,71,78,65,0.11,,
1952/10/12,68,76,63,0,,
1952/10/13,73,81,69,0,,
1952/10/14,78,90,71,0,,
1952/10/15,78,88,72,0,,
1952/10/16,75,85,69,0,,
1952/10/17,73,86,64,0,,
1952/10/18,77,89,67,0,,
1952/10/19,80,90,75,0,,
1952/10/20,78,89,71,0,,
1952/10/21,78,90,69,0,,
1952/10/22,77,89,70,0,,
1952/10/23,72,81,66,0,,
1952/10/24,70,81,64,0,,
1952/10/25,68,75,64,0.02,,
1952/10/26,71,83,65,0,,
1952/10/27,73,85,64,0,,
1952/10/28,74,86,67,0,,
1952/10/29,71,79,64,0.07,,
1952/10/30,69,74,63,0.06,,
1952/10/31,70,77,65,0.19,,
1952/11/1,65,68,61,0.01,,
1952/11/2,67,79,61,0,,
1952/11/3,69,82,61,0,,
1952/11/4,68,82,60,0,,
1952/11/5,69,84,60,0,,
1952/11/6,68,83,59,0,,
1952/11/7,70,86,62,0,,
1952/11/8,70,82,63,0,,
1952/11/9,69,81,62,0,,
1952/11/10,69,83,61,0,,
1952/11/11,70,86,61,0,,
1952/11/12,72,88,63,0,,
1952/11/13,73,87,62,0,,
1952/11/14,72,81,65,0,,
1952/11/15,69,80,61,0,,
1952/11/16,72,83,65,0,,
1952/11/17,68,80,59,0,,
1952/11/18,68,79,62,0,,
1952/11/19,68,78,62,0,,
1952/11/20,66,77,59,0,,
1952/11/21,65,76,56,0,,
1952/11/22,67,78,60,0,,
1952/11/23,68,78,62,0,,
1952/11/24,64,77,55,0,,
1952/11/25,64,78,56,0,,
1952/11/26,67,80,56,0,,
1952/11/27,69,79,61,0,,
1952/11/28,67,79,57,0,,
1952/11/29,66,80,59,0,,
1952/11/30,67,77,59,0,,
1952/12/1,72,78,67,0.02,,
1952/12/2,55,72,44,0,,
1952/12/3,46,50,43,0.02,,
1952/12/4,44,54,36,0.04,,
1952/12/5,48,59,40,0,,
1952/12/6,53,63,47,0,,
1952/12/7,55,64,49,0,,
1952/12/8,53,61,48,0,,
1952/12/9,48,59,42,0,,
1952/12/10,48,62,40,0,,
1952/12/11,50,67,40,0,,
1952/12/12,51,69,40,0,,
1952/12/13,53,73,40,0,,
1952/12/14,58,76,43,0,,
1952/12/15,65,76,55,0,,
1952/12/16,60,68,54,0,,
1952/12/17,57,65,51,0,,
1952/12/18,56,62,51,0,,
1952/12/19,61,70,54,0,,
1952/12/20,62,70,58,0,,
1952/12/21,57,64,49,0.04,,
1952/12/22,54,67,44,0,,
1952/12/23,56,72,45,0,,
1952/12/24,64,73,52,0,,
1952/12/25,60,65,53,0.01,,
1952/12/26,53,54,51,0.59,,
1952/12/27,53,55,49,0.19,,
1952/12/28,51,56,47,0.01,,
1952/12/29,54,58,50,0,,
1952/12/30,60,66,55,0,,
1952/12/31,60,72,52,0,,
1953/1/1,58,73,48,0,,
1953/1/2,61,73,53,0,,
1953/1/3,59,68,53,0,,
1953/1/4,57,66,52,0,,
1953/1/5,52,60,48,0,,
1953/1/6,51,62,44,0,,
1953/1/7,53,69,42,0,,
1953/1/8,53,70,44,0,,
1953/1/9,58,75,47,0,,
1953/1/10,62,76,53,0,,
1953/1/11,64,76,56,0,,
1953/1/12,65,76,60,0,,
1953/1/13,63,68,59,0,,
1953/1/14,57,63,51,0,,
1953/1/15,50,53,49,0,,
1953/1/16,48,54,45,0.05,,
1953/1/17,51,55,49,0.05,,
1953/1/18,48,50,47,0,,
1953/1/19,49,58,45,0,,
1953/1/20,56,67,51,0,,
1953/1/21,59,72,48,0,,
1953/1/22,65,77,58,0,,
1953/1/23,67,80,60,0,,
1953/1/24,62,67,59,0.03,,
1953/1/25,65,69,62,0.29,,
1953/1/26,56,66,49,1.53,,
1953/1/27,51,59,47,0.01,,
1953/1/28,51,68,43,0,,
1953/1/29,57,69,48,0,,
1953/1/30,56,59,54,0.07,,
1953/1/31,51,55,48,0.98,,
1953/2/1,50,53,47,0.2,,
1953/2/2,54,58,51,0.42,,
1953/2/3,57,61,54,1.63,,
1953/2/4,61,66,59,0.12,,
1953/2/5,60,64,57,0,,
1953/2/6,57,59,53,0,,
1953/2/7,54,63,49,0.09,,
1953/2/8,56,67,49,0,,
1953/2/9,60,69,55,0,,
1953/2/10,63,72,58,0.06,,
1953/2/11,68,79,62,0,,
1953/2/12,69,81,63,0,,
1953/2/13,70,82,64,0,,
1953/2/14,71,83,65,0,,
1953/2/15,65,68,61,0.11,,
1953/2/16,62,63,60,0.25,,
1953/2/17,58,62,51,1.32,,
1953/2/18,48,51,44,0.1,,
1953/2/19,46,49,44,0,,
1953/2/20,46,48,43,0.2,,
1953/2/21,50,60,44,0.04,,
1953/2/22,50,55,46,0.04,,
1953/2/23,54,60,48,0.07,,
1953/2/24,63,70,58,0.01,,
